Common name,DrugBank ID,chembl_id
Zotepine,DB09225,CHEMBL285802
RP5063,DB09226,NA
Barnidipine,DB09227,CHEMBL2103761
Conestat alfa,DB09228,NA
Aranidipine,DB09229,CHEMBL2104030
Azelnidipine,DB09230,CHEMBL1275868
Benidipine,DB09231,CHEMBL2105555
Cilnidipine,DB09232,CHEMBL452076
Cronidipine,DB09233,NA
Darodipine,DB09234,CHEMBL2104154
Efonidipine,DB09235,CHEMBL2074922
Lacidipine,DB09236,CHEMBL460291
Levamlodipine,DB09237,CHEMBL2111097
Manidipine,DB09238,CHEMBL1085699
Niguldipine,DB09239,CHEMBL405355
Niludipine,DB09240,CHEMBL2106840
Methylene blue,DB09241,CHEMBL405110
Moxonidine,DB09242,CHEMBL19236
Hydracarbazine,DB09243,CHEMBL2106246
Pirlindole,DB09244,CHEMBL32350
Toloxatone,DB09245,CHEMBL18116
Benmoxin,DB09246,CHEMBL1877495
Iproclozide,DB09247,CHEMBL91238
Mebanazine,DB09248,CHEMBL1909283
Octamoxin,DB09249,CHEMBL2104528
Pheniprazine,DB09250,CHEMBL22498
Phenoxypropazine,DB09251,CHEMBL1909286
Pivhydrazine,DB09252,CHEMBL2106941
Safrazine,DB09253,CHEMBL3301845
Caroxazone,DB09254,CHEMBL2104164
Dextran,DB09255,NA
Tegafur,DB09256,CHEMBL20883
Gimeracil,DB09257,CHEMBL1730601
Bemiparin,DB09258,NA
Reviparin,DB09259,NA
Parnaparin,DB09260,NA
Certoparin,DB09261,NA
Imidafenacin,DB09262,CHEMBL53366
Patiromer,DB09263,NA
Idarucizumab,DB09264,NA
Lixisenatide,DB09265,NA
Technetium Tc-99m tilmanocept,DB09266,NA
Strontium ranelate,DB09267,CHEMBL3707306
Picosulfuric acid,DB09268,CHEMBL1741134
Phenylacetic acid,DB09269,CHEMBL1044
Ubidecarenone,DB09270,CHEMBL454801
Cimetropium,DB09271,CHEMBL2110773
Eluxadoline,DB09272,CHEMBL2159122
Doxofylline,DB09273,CHEMBL1527608
Artesunate,DB09274,CHEMBL361497
Bismuth Subcitrate,DB09275,NA
Sodium aurothiomalate,DB09276,NA
Choline C 11,DB09277,CHEMBL2095207
Activated charcoal,DB09278,CHEMBL2106049
Fimasartan,DB09279,CHEMBL1951143
Lumacaftor,DB09280,CHEMBL2103870
Magnesium Trisilicate,DB09281,CHEMBL2096633
Molsidomine,DB09282,CHEMBL1329455
Trapidil,DB09283,CHEMBL132767
Imolamine,DB09284,CHEMBL2104282
Morniflumate,DB09285,CHEMBL2105059
Pipamperone,DB09286,CHEMBL440294
Polyethylene glycol,DB09287,NA
Propacetamol,DB09288,CHEMBL1851805
Tianeptine,DB09289,CHEMBL1289110
Ramosetron,DB09290,CHEMBL1643895
Rolapitant,DB09291,CHEMBL3707331
Sacubitril,DB09292,CHEMBL3137301
Iodide I-131,DB09293,NA
Talniflumate,DB09295,CHEMBL1081506
Ombitasvir,DB09296,CHEMBL3127326
Paritaprevir,DB09297,NA
Silibinin A,DB09298,CHEMBL431701
Tenofovir alafenamide,DB09299,CHEMBL2107825
Butylscopolamine,DB09300,CHEMBL1618102
Chondroitin sulfate,DB09301,NA
Alirocumab,DB09302,NA
Evolocumab,DB09303,NA
Setiptiline,DB09304,CHEMBL2104895
Aptazapine,DB09305,CHEMBL336712
Metralindole,DB09306,CHEMBL1619017
Oxaprotiline,DB09307,NA
Solithromycin,DB09308,CHEMBL1232510
Kitasamycin,DB09309,CHEMBL2106399
Coagulation Factor XIII A-Subunit (Recombinant),DB09310,NA
Polycarbophil calcium,DB09311,NA
Antilymphocyte immunoglobulin (horse),DB09312,NA
Ioxaglic acid,DB09313,CHEMBL1201291
Technetium Tc-99m pertechnetate,DB09314,NA
Xenon-133,DB09315,CHEMBL1200685
Thallous Chloride,DB09316,NA
"Synthetic Conjugated Estrogens, A",DB09317,NA
"Synthetic Conjugated Estrogens, B",DB09318,NA
Carbenicillin indanyl,DB09319,CHEMBL1596
Procaine benzylpenicillin,DB09320,CHEMBL1628385
Zinc oxide,DB09321,NA
Zinc sulfate,DB09322,CHEMBL1200929
Benzathine benzylpenicillin,DB09323,CHEMBL3182097
Sulbactam,DB09324,CHEMBL403
Sodium fluoride,DB09325,CHEMBL1528
Ammonia N-13,DB09326,CHEMBL1201189
Tegafur-uracil,DB09327,NA
Vayarin,DB09328,NA
"Antihemophilic Factor (Recombinant), PEGylated",DB09329,NA
Osimertinib,DB09330,CHEMBL3353410
Daratumumab,DB09331,NA
Kappadione,DB09332,NA
Iopodic acid,DB09333,CHEMBL3306201
Seractide acetate,DB09334,NA
Alatrofloxacin,DB09335,CHEMBL1201197
Technetium Tc-99m nofetumomab merpentan,DB09336,NA
Medical air,DB09337,NA
Mersalyl,DB09338,NA
Indium In-111 imciromab pentetate,DB09339,NA
Tyropanoic acid,DB09340,CHEMBL1201261
Glucose,DB09341,NA
Propoxycaine,DB09342,CHEMBL1195
Tipiracil,DB09343,CHEMBL235668
Invert sugar,DB09344,NA
Pramocaine,DB09345,CHEMBL1198
Metrizoic acid,DB09346,CHEMBL1736
Acetrizoic acid,DB09347,CHEMBL1201327
beta-Propiolactone,DB09348,CHEMBL1200627
Gastric intrinsic factor,DB09349,NA
Piperonyl butoxide,DB09350,CHEMBL1201131
Levobetaxolol,DB09351,CHEMBL1201274
Hydroxyamphetamine,DB09352,CHEMBL1546
Sulfur,DB09353,NA
Sulfabenzamide,DB09355,CHEMBL1243
Dexpanthenol,DB09357,CHEMBL1200979
Rauwolfia serpentina root,DB09363,NA
Procaine merethoxylline,DB09364,NA
Propyliodone,DB09366,CHEMBL1200821
Polyestradiol phosphate,DB09369,NA
Norethynodrel,DB09371,CHEMBL1387
Tannic acid,DB09372,NA
Indocyanine green,DB09374,CHEMBL1646
Chymotrypsin,DB09375,NA
Lapyrium,DB09376,CHEMBL1201786
Fluprednisolone,DB09378,CHEMBL1200774
Sutilains,DB09379,NA
"Estrogens, esterified",DB09381,NA
Meprednisone,DB09383,CHEMBL1201148
Norgestrel,DB09389,NA
Amino acids,DB09393,NA
Phosphoric acid,DB09394,CHEMBL1187
Sodium acetate,DB09395,CHEMBL1354
Propoxyphene napsylate,DB09396,CHEMBL3989716
Technetium Tc-99m sulfur colloid,DB09397,NA
Sodium fluoride F-18,DB09398,CHEMBL1200744
Isosorbide,DB09401,CHEMBL1200660
Iocetamic acid,DB09403,CHEMBL1200770
Magnesium chloride,DB09407,CHEMBL2219642
Magnesium acetate tetrahydrate,DB09409,CHEMBL3989858
Monopotassium phosphate,DB09413,CHEMBL1200925
Dipotassium phosphate,DB09414,CHEMBL1200459
Potassium perchlorate,DB09418,CHEMBL1200696
Xylose,DB09419,NA
Iodide I-123,DB09420,CHEMBL1249
Protirelin,DB09421,CHEMBL1472
Soybean oil,DB09422,NA
Indium In-111 pentetate,DB09425,NA
Safflower oil,DB09446,NA
Sodium phosphate,DB09449,CHEMBL1368
Insulin Beef,DB09456,NA
Tartaric acid,DB09459,CHEMBL1236315
Sodium carbonate,DB09460,CHEMBL186314
Glycerin,DB09462,CHEMBL692
Sodium sulfate,DB09472,CHEMBL233406
Indium In-111 oxyquinoline,DB09473,NA
Enalaprilat,DB09477,CHEMBL577
Rubidium chloride Rb-82,DB09479,CHEMBL1200727
Magnesium carbonate,DB09481,CHEMBL1200736
Sodium monofluorophosphate,DB09484,NA
Iotrolan,DB09487,CHEMBL1200555
Acrivastine,DB09488,CHEMBL1224
Indium In-111 chloride,DB09490,NA
Technetium Tc-99m red blood cells,DB09493,NA
Cetyl alcohol,DB09494,CHEMBL706
Avobenzone,DB09495,CHEMBL1200522
Octinoxate,DB09496,CHEMBL1200608
Strontium chloride Sr-89,DB09498,CHEMBL1200625
Thiosulfuric acid,DB09499,CHEMBL1208642
Fludeoxyglucose F-18,DB09502,CHEMBL1808698
Urea C-13,DB09510,CHEMBL2096648
Talc,DB09511,NA
Simethicone,DB09512,NA
Urea C-14,DB09513,CHEMBL2096635
Mequinol,DB09516,CHEMBL544
Sodium ferric gluconate complex,DB09517,NA
Hydroquinone,DB09526,CHEMBL537
Human secretin,DB09532,NA
Ecamsule,DB09534,CHEMBL3989850
Octocrylene,DB09535,NA
Titanium dioxide,DB09536,NA
Iodine povacrylex,DB09537,NA
Omega-3-acid ethyl esters,DB09539,NA
Methyl salicylate,DB09543,CHEMBL108545
Iobenguane sulfate I-123,DB09546,CHEMBL3989523
Desoxyribonuclease,DB09551,NA
Thonzonium,DB09552,CHEMBL1201322
Dexchlorpheniramine maleate,DB09555,CHEMBL1200927
Necitumumab,DB09559,NA
Sodium glycerophosphate,DB09561,NA
Choline C-11,DB09563,NA
Insulin Degludec,DB09564,NA
Olive oil,DB09567,NA
Omega-3-carboxylic acids,DB09568,NA
Ixazomib,DB09570,CHEMBL2141296
Levmetamfetamine,DB09571,CHEMBL1927030
Corynebacterium diphtheriae,DB09877,NA
Neisseria meningitidis group C capsular polysaccharide antigen,DB10072,NA
Haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen,DB10076,NA
Rotavirus Vaccine,DB10276,NA
"Rabies virus inactivated antigen, A",DB10283,NA
Neisseria meningitidis serogroup b recombinant lp2086 a05 protein variant antigen,DB10284,NA
Neisseria meningitidis serogroup b recombinant lp2086 b01 protein variant antigen,DB10285,NA
Streptococcus pneumoniae type 4 capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10286,NA
Streptococcus pneumoniae type 6b capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10287,NA
Streptococcus pneumoniae type 9v capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10288,NA
Streptococcus pneumoniae type 14 capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10289,NA
Streptococcus pneumoniae type 18c capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10290,NA
Streptococcus pneumoniae type 19f capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10291,NA
Streptococcus pneumoniae type 23f capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10292,NA
Streptococcus pneumoniae type 1 capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10293,NA
Streptococcus pneumoniae type 3 capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10294,NA
Streptococcus pneumoniae type 5 capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10295,NA
Streptococcus pneumoniae type 6a capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10296,NA
Streptococcus pneumoniae type 7f capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10297,NA
Streptococcus pneumoniae type 19a capsular polysaccharide diphtheria crm197 protein conjugate antigen,DB10298,NA
Human papillomavirus type 6 L1 capsid protein antigen,DB10299,NA
Human papillomavirus type 11 L1 capsid protein antigen,DB10300,NA
Human papillomavirus type 16 L1 capsid protein antigen,DB10301,NA
Human papillomavirus type 18 L1 capsid protein antigen,DB10302,NA
Human papillomavirus type 31 L1 capsid protein antigen,DB10310,NA
Human papillomavirus type 33 L1 capsid protein antigen,DB10311,NA
Human papillomavirus type 45 L1 capsid protein antigen,DB10312,NA
Human papillomavirus type 52 L1 capsid protein antigen,DB10313,NA
Human papillomavirus type 58 L1 capsid protein antigen,DB10314,NA
Measles virus strain enders' attenuated edmonston live antigen,DB10315,NA
Mumps virus strain b level jeryl lynn live antigen,DB10316,NA
Rubella virus vaccine,DB10317,NA
Varicella Zoster Vaccine (Live/Attenuated),DB10318,NA
Streptococcus pneumoniae type 1 capsular polysaccharide antigen,DB10319,NA
Streptococcus pneumoniae type 2 capsular polysaccharide antigen,DB10320,NA
Streptococcus pneumoniae type 3 capsular polysaccharide antigen,DB10321,NA
Streptococcus pneumoniae type 4 capsular polysaccharide antigen,DB10322,NA
Streptococcus pneumoniae type 5 capsular polysaccharide antigen,DB10323,NA
Streptococcus pneumoniae type 6b capsular polysaccharide antigen,DB10324,NA
Streptococcus pneumoniae type 7f capsular polysaccharide antigen,DB10325,NA
Streptococcus pneumoniae type 8 capsular polysaccharide antigen,DB10326,NA
Streptococcus pneumoniae type 9n capsular polysaccharide antigen,DB10327,NA
Streptococcus pneumoniae type 9v capsular polysaccharide antigen,DB10328,NA
Streptococcus pneumoniae type 10a capsular polysaccharide antigen,DB10329,NA
Streptococcus pneumoniae type 11a capsular polysaccharide antigen,DB10330,NA
Streptococcus pneumoniae type 12f capsular polysaccharide antigen,DB10331,NA
Streptococcus pneumoniae type 14 capsular polysaccharide antigen,DB10332,NA
Streptococcus pneumoniae type 15b capsular polysaccharide antigen,DB10333,NA
Streptococcus pneumoniae type 17f capsular polysaccharide antigen,DB10334,NA
Streptococcus pneumoniae type 18c capsular polysaccharide antigen,DB10335,NA
Streptococcus pneumoniae type 19f capsular polysaccharide antigen,DB10336,NA
Streptococcus pneumoniae type 19a capsular polysaccharide antigen,DB10337,NA
Streptococcus pneumoniae type 20 capsular polysaccharide antigen,DB10338,NA
Streptococcus pneumoniae type 22f capsular polysaccharide antigen,DB10339,NA
Streptococcus pneumoniae type 23f capsular polysaccharide antigen,DB10340,NA
Streptococcus pneumoniae type 33f capsular polysaccharide antigen,DB10341,NA
Haemophilus influenzae type b capsular polysaccharide meningococcal outer membrane protein conjugate antigen,DB10342,NA
Bacillus calmette-guerin substrain tice live antigen,DB10343,NA
Ginger,DB10344,NA
House dust,DB10345,NA
Acacia longifolia pollen,DB10346,NA
Fraxinus americana pollen,DB10348,NA
Paspalum notatum pollen,DB10349,NA
Fagus grandifolia pollen,DB10350,NA
Cynodon dactylon pollen,DB10351,NA
Betula lenta pollen,DB10352,NA
Poa annua pollen,DB10353,NA
Acer negundo pollen,DB10354,NA
Bromus inermis pollen,DB10355,NA
Xanthium strumarium pollen,DB10356,NA
Zea mays pollen,DB10357,NA
Rumex acetosella pollen,DB10359,NA
Rumex crispus pollen,DB10360,NA
Ulmus americana pollen,DB10361,NA
Ulmus pumila pollen,DB10362,NA
Corylus americana pollen,DB10363,NA
Carya ovata pollen,DB10364,NA
Sorghum halepense pollen,DB10365,NA
Poa pratensis pollen,DB10366,NA
Chenopodium album pollen,DB10368,NA
Acer saccharum pollen,DB10369,NA
Festuca pratensis pollen,DB10370,NA
Prosopis juliflora pollen,DB10371,NA
Artemisia vulgaris pollen,DB10372,NA
Morus rubra pollen,DB10373,NA
Quercus agrifolia pollen,DB10374,NA
Quercus virginiana pollen,DB10375,NA
Quercus alba pollen,DB10376,NA
Avena sativa pollen,DB10377,NA
Olea europaea pollen,DB10378,NA
Dactylis glomerata pollen,DB10379,NA
Amaranthus retroflexus pollen,DB10381,NA
Plantago lanceolata pollen,DB10382,NA
Populus alba pollen,DB10383,NA
Ambrosia acanthicarpa pollen,DB10384,NA
Ambrosia artemisiifolia pollen,DB10385,NA
Ambrosia trifida pollen,DB10386,NA
Ambrosia psilostachya pollen,DB10387,NA
Salsola kali pollen,DB10388,NA
Lolium perenne pollen,DB10389,NA
Artemisia tridentata pollen,DB10390,NA
Atriplex wrightii pollen,DB10391,NA
Platanus occidentalis pollen,DB10392,NA
Platanus racemosa pollen,DB10393,NA
Phleum pratense pollen,DB10394,NA
Holcus lanatus pollen,DB10395,NA
Juglans nigra pollen,DB10396,NA
Juglans californica pollen,DB10397,NA
Salix nigra pollen,DB10398,NA
Felis catus skin,DB10399,NA
Dermatophagoides farinae,DB10400,NA
Dermatophagoides pteronyssinus,DB10401,NA
Agrostis gigantea pollen,DB10403,NA
Anthoxanthum odoratum pollen,DB10404,NA
Bos taurus skin,DB10406,NA
Cotton seed,DB10408,NA
Ceiba pentandra fiber,DB10411,NA
Mus musculus skin,DB10412,NA
Orris,DB10413,NA
Rabbit,DB10415,NA
Cavia porcellus skin,DB10416,NA
Periplaneta americana,DB10417,NA
Blatella germanica,DB10418,NA
Solenopsis invicta,DB10419,NA
Gallus gallus feather,DB10420,NA
Anas platyrhynchos feather,DB10421,NA
Anser anser feather,DB10422,NA
Acremonium strictum,DB10423,NA
Alternaria alternata,DB10424,NA
Aspergillus fumigatus,DB10425,NA
Aspergillus niger var. niger,DB10426,NA
Aureobasidium pullulans var. pullutans,DB10427,NA
Botrytis cinerea,DB10428,NA
Candida albicans,DB10429,NA
Chaetomium globosum,DB10430,NA
Cladosporium cladosporioides,DB10431,NA
Cladosporium sphaerospermum,DB10432,NA
Cochliobolus sativus,DB10433,NA
Epicoccum nigrum,DB10434,NA
Fusarium oxysporum vasinfectum,DB10435,NA
Helminthosporium solani,DB10436,NA
Mucor plumbeus,DB10437,NA
Neurospora intermedia,DB10438,NA
Penicillium chrysogenum var. chrysogenum,DB10439,NA
Phoma exigua var. exigua,DB10440,NA
Rhizopus arrhizus var. arrhizus,DB10441,NA
Rhodotorula rubra,DB10442,NA
Ustilago maydis,DB10443,NA
Ustilago tritici,DB10444,NA
Stemphylium solani,DB10445,NA
Trichophyton mentagrophytes,DB10446,NA
Saccharomyces cerevisiae,DB10447,NA
Aspergillus repens,DB10449,NA
Aspergillus terreus,DB10450,NA
Acacia,DB10451,NA
Ailanthus altissima pollen,DB10452,NA
Alnus incana subsp. rugosa pollen,DB10453,NA
Medicago sativa pollen,DB10454,NA
Fraxinus velutina pollen,DB10455,NA
Populus tremuloides pollen,DB10456,NA
Morella cerifera pollen,DB10457,NA
Betula nigra pollen,DB10458,NA
Amaranthus palmeri pollen,DB10459,NA
Juniperus ashei pollen,DB10460,NA
Juniperus virginiana pollen,DB10461,NA
Xanthium strumarium var. canadense pollen,DB10462,NA
Populus deltoides pollen,DB10463,NA
Populus fremontii pollen,DB10464,NA
Populus deltoides subsp. monilifera pollen,DB10465,NA
Cupressus arizonica pollen,DB10466,NA
Taxodium distichum pollen,DB10467,NA
Eupatorium capillifolium pollen,DB10468,NA
Ulmus crassifolia pollen,DB10469,NA
Eucalyptus globulus pollen,DB10470,NA
Solidago canadensis pollen,DB10471,NA
Celtis occidentalis pollen,DB10472,NA
Juniperus californica pollen,DB10473,NA
Robinia pseudoacacia pollen,DB10474,NA
Acer rubrum pollen,DB10475,NA
Melaleuca quinquenervia pollen,DB10478,NA
Chenopodium ambrosioides pollen,DB10479,NA
Morus alba pollen,DB10480,NA
Quercus rubra pollen,DB10481,NA
Syagrus romanzoffiana pollen,DB10482,NA
Schinus molle pollen,DB10483,NA
Amaranthus spinosus pollen,DB10484,NA
Casuarina equisetifolia pollen,DB10485,NA
Pinus strobus pollen,DB10486,NA
Pinus echinata pollen,DB10487,NA
Ligustrum vulgare pollen,DB10488,NA
Elymus repens pollen,DB10489,NA
Ambrosia tenuifolia pollen,DB10490,NA
Ambrosia bidentata pollen,DB10491,NA
Artemisia frigida pollen,DB10493,NA
Distichlis spicata pollen,DB10494,NA
Liquidambar styraciflua pollen,DB10495,NA
Juglans regia pollen,DB10496,NA
Triticum aestivum pollen,DB10498,NA
Felis catus hair,DB10499,NA
Almond,DB10500,NA
Apple,DB10501,NA
Apricot,DB10502,NA
Asparagus,DB10503,NA
Avocado,DB10504,NA
Banana,DB10505,NA
Barley,DB10506,NA
String bean,DB10508,NA
Beef,DB10509,NA
Brazil nut,DB10510,NA
Broccoli,DB10511,NA
Buckwheat,DB10512,NA
Cabbage,DB10513,NA
Cantaloupe,DB10514,NA
Carrot,DB10515,NA
Casein,DB10516,NA
Celery,DB10517,NA
Cherry,DB10518,NA
Chicken,DB10519,NA
Cinnamon,DB10520,NA
Coconut,DB10523,NA
Coffee bean,DB10525,NA
Crab,DB10526,NA
Cucumber,DB10527,NA
Egg white,DB10528,NA
Egg,DB10529,NA
Egg yolk,DB10530,NA
Flounder,DB10531,NA
Garlic,DB10532,NA
Grape,DB10533,NA
Grapefruit,DB10534,NA
Karaya gum,DB10535,NA
Honeydew melon,DB10536,NA
Lamb,DB10537,NA
Lemon,DB10538,NA
Lettuce,DB10539,NA
Lima bean,DB10540,NA
Lobster,DB10541,NA
Goat milk,DB10542,NA
Cow milk,DB10543,NA
Cultivated mushroom,DB10544,NA
Mustard seed,DB10545,NA
Oat,DB10546,NA
Black olive,DB10547,NA
Onion,DB10548,NA
Orange,DB10549,NA
Oyster,DB10550,NA
Pea,DB10551,NA
Peach,DB10552,NA
Peanut,DB10553,NA
Pear,DB10554,NA
Pecan,DB10555,NA
Green bell pepper,DB10556,NA
Black pepper,DB10557,NA
Pineapple,DB10558,NA
Pistachio,DB10559,NA
Plum,DB10560,NA
Pork,DB10561,NA
Potato,DB10562,NA
Rice,DB10563,NA
Rye,DB10564,NA
Sesame seed,DB10566,NA
Shrimp,DB10567,NA
Soybean,DB10568,NA
Spinach,DB10569,NA
Squash,DB10570,NA
Strawberry,DB10571,NA
Corn,DB10572,NA
Tomato,DB10573,NA
Tuna,DB10574,NA
Turkey,DB10575,NA
Vanilla,DB10576,NA
English walnut,DB10577,NA
Watermelon,DB10578,NA
Wheat,DB10579,NA
Tea leaf,DB10580,NA
Khuskia oryzae,DB10581,NA
Artemisia annua pollen,DB10582,NA
Clostridium tetani toxoid antigen (formaldehyde inactivated),DB10583,NA
Meriones unguiculatus skin,DB10603,NA
Capra hircus skin,DB10604,NA
Mesocricetus auratus skin,DB10605,NA
Sus scrofa skin,DB10606,NA
Oryctolagus cuniculus skin,DB10607,NA
Rattus norvegicus skin,DB10608,NA
Bombyx mori fiber,DB10609,NA
Duck,DB10610,NA
Allergenic extract- beef liver,DB10611,NA
Veal,DB10612,NA
Bluefish,DB10613,NA
Common carp,DB10614,NA
Haddock,DB10615,NA
Pacific halibut,DB10616,NA
Herring,DB10617,NA
Mackerel,DB10618,NA
Northern pike,DB10619,NA
Red snapper,DB10620,NA
Atlantic salmon,DB10621,NA
European pilchard,DB10622,NA
Scallop,DB10623,NA
Smelt,DB10624,NA
Swordfish,DB10625,NA
Trout,DB10626,NA
White fish,DB10627,NA
Blackberry,DB10628,NA
Blueberry,DB10629,NA
Sour cherry,DB10630,NA
Cranberry,DB10631,NA
Date,DB10632,NA
Fig,DB10633,NA
Wine grape,DB10634,NA
Lime (citrus),DB10635,NA
Raspberry,DB10636,NA
Tangerine,DB10637,NA
Artichoke,DB10638,NA
Kidney bean,DB10639,NA
Beet,DB10640,NA
Kiwi fruit,DB10641,NA
Brussels sprout,DB10642,NA
Cauliflower,DB10643,NA
Eggplant,DB10644,NA
Lentil,DB10645,NA
Green olive,DB10646,NA
Parsley,DB10647,NA
Sweet potato,DB10648,NA
Raphanus sativus,DB10650,NA
Rhubarb,DB10651,NA
Turnip,DB10652,NA
Cashew,DB10653,NA
Hazelnut,DB10654,NA
Macadamia nut,DB10655,NA
Nectarine,DB10656,NA
Mango,DB10657,NA
Papaya,DB10658,NA
Leek,DB10659,NA
Okra,DB10660,NA
Parsnip,DB10661,NA
Chickpea,DB10662,NA
Black-eyed pea,DB10663,NA
Watercress,DB10664,NA
Arabica coffee bean,DB10666,NA
Tragacanth,DB10667,NA
Allspice,DB10669,NA
Laurus nobilis,DB10670,NA
Caraway seed,DB10671,NA
Clove,DB10672,NA
Dill,DB10673,NA
Horseradish,DB10674,NA
Licorice,DB10675,NA
Nutmeg,DB10676,NA
Oregano,DB10677,NA
Paprika,DB10678,NA
White pepper,DB10679,NA
Poppy seed,DB10681,NA
Spearmint,DB10683,NA
Wheat bran,DB10685,NA
American chestnut,DB10686,NA
Hops,DB10687,NA
Musca domestica,DB10688,NA
Ctenocephalides canis,DB10690,NA
Aedes taeniorhynchus,DB10691,NA
Ctenocephalides felis,DB10693,NA
Aspergillus flavus,DB10694,NA
Eurotium herbariorum,DB10695,NA
Trichothecium roseum,DB10696,NA
Curvularia inaequalis,DB10697,NA
Fusarium compactum,DB10698,NA
Geotrichum candidum,DB10699,NA
Phoma glomerata,DB10700,NA
Rhodotorula mucilaginosa,DB10701,NA
Stemphylium sarciniforme,DB10702,NA
Trichoderma harzianum,DB10703,NA
Ustilago avenae,DB10704,NA
Puccinia graminis,DB10706,NA
Cotton,DB10707,NA
Flax seed,DB10708,NA
Tobacco leaf,DB10710,NA
Corcorus capsularis fiber,DB10711,NA
Agave sisalana fiber,DB10712,NA
Poa compressa pollen,DB10713,NA
Phalaris arundinacea pollen,DB10714,NA
Bouteloua gracilis pollen,DB10715,NA
Urochloa mutica pollen,DB10716,NA
Secale cereale pollen,DB10717,NA
Leymus condensatus pollen,DB10718,NA
Pascopyrum smithii pollen,DB10719,NA
Acacia baileyana pollen,DB10720,NA
Alnus rubra pollen,DB10721,NA
Alnus rhombifolia pollen,DB10722,NA
Fraxinus latifolia pollen,DB10723,NA
Betula populifolia pollen,DB10724,NA
Tamarix gallica pollen,DB10725,NA
Juniperus monosperma pollen,DB10727,NA
Juniperus pinchotii pollen,DB10728,NA
Juniperus scopulorum pollen,DB10729,NA
Juniperus osteosperma pollen,DB10730,NA
Juniperus occidentalis pollen,DB10731,NA
Tilia americana pollen,DB10732,NA
Mangifera indica pollen,DB10733,NA
Acer macrophyllum pollen,DB10734,NA
Acer saccharinum pollen,DB10735,NA
Broussonetia papyrifera pollen,DB10736,NA
Quercus velutina pollen,DB10737,NA
Quercus macrocarpa pollen,DB10738,NA
Quercus kelloggii pollen,DB10739,NA
Quercus gambelii pollen,DB10740,NA
Quercus lobata pollen,DB10741,NA
Quercus nigra pollen,DB10742,NA
Citrus sinensis pollen,DB10743,NA
Pinus taeda pollen,DB10744,NA
Pinus palustris pollen,DB10745,NA
Pinus ponderosa pollen,DB10746,NA
Pinus elliottii pollen,DB10747,NA
Pinus virginiana pollen,DB10748,NA
Pinus monticola pollen,DB10749,NA
Populus nigra pollen,DB10750,NA
Elaeagnus angustifolia pollen,DB10751,NA
Salix lasiolepis pollen,DB10752,NA
Salix discolor pollen,DB10753,NA
Populus balsamifera subsp. trichocarpa pollen,DB10754,NA
Taraxacum officinale pollen,DB10755,NA
Atriplex polycarpa pollen,DB10756,NA
Baccharis halimifolia pollen,DB10757,NA
Hymenoclea salsola pollen,DB10758,NA
Allenrolfea occidentalis pollen,DB10759,NA
Atriplex lentiformis pollen,DB10760,NA
Artemisia douglasiana pollen,DB10761,NA
Artemisia ludoviciana pollen,DB10762,NA
Urtica dioica pollen,DB10763,NA
Iva axillaris pollen,DB10764,NA
Ambrosia deltoidea pollen,DB10765,NA
Sarcobatus vermiculatus pollen,DB10766,NA
Atriplex canescens pollen,DB10767,NA
Artemisia absinthium pollen,DB10768,NA
Bovine type I collagen,DB10771,NA
Bordetella pertussis filamentous hemagglutinin antigen (formaldehyde inactivated),DB10788,NA
Bordetella pertussis pertactin antigen,DB10789,NA
Bordetella pertussis fimbriae 2/3 antigen,DB10790,NA
Influenza A virus A/california/7/2009 x-179a (H1N1) antigen (formaldehyde inactivated),DB10791,NA
Influenza A virus A/switzerland/9715293/2013 nib-88 (H3N2) antigen (formaldehyde inactivated),DB10792,NA
Influenza B virus B/phuket/3073/2013 antigen (formaldehyde inactivated),DB10793,NA
Poliovirus type 1 antigen (formaldehyde inactivated),DB10795,NA
Poliovirus type 2 antigen (formaldehyde inactivated),DB10796,NA
Poliovirus type 3 antigen (formaldehyde inactivated),DB10797,NA
Neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen,DB10798,NA
Neisseria meningitidis group c capsular polysaccharide diphtheria toxoid conjugate antigen,DB10799,NA
Neisseria meningitidis group y capsular polysaccharide diphtheria toxoid conjugate antigen,DB10800,NA
Neisseria meningitidis group w-135 capsular polysaccharide diphtheria toxoid conjugate antigen,DB10801,NA
Influenza a virus a/california/7/2009(h1n1)-like antigen (formaldehyde inactivated),DB10802,NA
Salmonella typhi ty2 vi polysaccharide antigen,DB10803,NA
Bacillus calmette-guerin substrain connaught live antigen,DB10804,NA
Yellow Fever Vaccine,DB10805,NA
Candida tropicalis,DB10807,NA
Mucor racemosus,DB10808,NA
Penicillium camemberti,DB10809,NA
